Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | Continuous Work History Sample | …does not contan the mean of log earnings. | [('…does', 'NNS'), ('not', 'RB'), ('contan', 'VB'), ('the', 'DT'), ('mean', 'NN'), ('of', 'IN'), ('log', 'JJ'), ('earnings', 'NNS'), ('.', '.')]
Dataset | Continuous Work History Sample | …contains no information on covariates other than race and age, a fact that may be of concern if the impact of veteran status is primarily through its effect on covariates. | [('…contains', 'VBZ'), ('no', 'DT'), ('information', 'NN'), ('on', 'IN'), ('covariates', 'VBZ'), ('other', 'JJ'), ('than', 'IN'), ('race', 'NN'), ('and', 'CC'), ('age', 'NN'), (',', ','), ('a', 'DT'), ('fact', 'NN'), ('that', 'WDT'), ('may', 'MD'), ('be', 'VB'), ('of', 'IN'), ('concern', 'NN'), ('if', 'IN'), ('the', 'DT'), ('impact', 'NN'), ('of', 'IN'), ('veteran', 'NN'), ('status', 'NN'), ('is', 'VBZ'), ('primarily', 'RB'), ('through', 'IN'), ('its', 'PRP$'), ('effect', 'NN'), ('on', 'IN'), ('covariates', 'NNS'), ('.', '.')]
Dataset | Continuous Work History Sample | …the Social Security Administration maintains the earnings histories of covered employees in a data base known as the Summary Earnings Record and approxmiately one year after these records have been updated with the latest year's earnings, a one percent sample of earnings histories is extracted where the sampling frame consists of al issued Social Security numbers, and the sample is stratified using the regional information coded in the numbers. | [('…the', 'JJ'), ('Social', 'NNP'), ('Security', 'NNP'), ('Administration', 'NNP'), ('maintains', 'VBZ'), ('the', 'DT'), ('earnings', 'NNS'), ('histories', 'NNS'), ('of', 'IN'), ('covered', 'JJ'), ('employees', 'NNS'), ('in', 'IN'), ('a', 'DT'), ('data', 'JJ'), ('base', 'NN'), ('known', 'VBN'), ('as', 'IN'), ('the', 'DT'), ('Summary', 'JJ'), ('Earnings', 'NNS'), ('Record', 'NN'), ('and', 'CC'), ('approxmiately', 'RB'), ('one', 'CD'), ('year', 'NN'), ('after', 'IN'), ('these', 'DT'), ('records', 'NNS'), ('have', 'VBP'), ('been', 'VBN'), ('updated', 'VBN'), ('with', 'IN'), ('the', 'DT'), ('latest', 'JJS'), ('year', 'NN'), ("'s", 'POS'), ('earnings', 'NNS'), (',', ','), ('a', 'DT'), ('one', 'CD'), ('percent', 'NN'), ('sample', 'NN'), ('of', 'IN'), ('earnings', 'NNS'), ('histories', 'NNS'), ('is', 'VBZ'), ('extracted', 'VBN'), ('where', 'WRB'), ('the', 'DT'), ('sampling', 'NN'), ('frame', 'NN'), ('consists', 'VBZ'), ('of', 'IN'), ('al', 'NN'), ('issued', 'VBN'), ('Social', 'NNP'), ('Security', 'NNP'), ('numbers', 'NNS'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('sample', 'NN'), ('is', 'VBZ'), ('stratified', 'VBN'), ('using', 'VBG'), ('the', 'DT'), ('regional', 'JJ'), ('information', 'NN'), ('coded', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('numbers', 'NNS'), ('.', '.')]
Dataset | Continuous Work History Sample | …prior to 1978, the FICA taxable earnings of employees were reported to the Social Security Administration by employers on a quarterly basis. | [('…prior', 'RB'), ('to', 'TO'), ('1978', 'CD'), (',', ','), ('the', 'DT'), ('FICA', 'NNP'), ('taxable', 'JJ'), ('earnings', 'NNS'), ('of', 'IN'), ('employees', 'NNS'), ('were', 'VBD'), ('reported', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('Social', 'NNP'), ('Security', 'NNP'), ('Administration', 'NNP'), ('by', 'IN'), ('employers', 'NNS'), ('on', 'IN'), ('a', 'DT'), ('quarterly', 'JJ'), ('basis', 'NN'), ('.', '.')]
Dataset | Continuous Work History Sample | …self-employed workers report their earnings annually on schedule SE of Internal Revenue Service Form 1040. | [('…self-employed', 'JJ'), ('workers', 'NNS'), ('report', 'VBP'), ('their', 'PRP$'), ('earnings', 'NNS'), ('annually', 'RB'), ('on', 'IN'), ('schedule', 'NN'), ('SE', 'NNP'), ('of', 'IN'), ('Internal', 'NNP'), ('Revenue', 'NNP'), ('Service', 'NNP'), ('Form', 'NNP'), ('1040', 'CD'), ('.', '.')]
Dataset | Continuous Work History Sample | …since 1978, employers have no longer been required to make quarterly reports; instead they file IRS form W-2 with the Social Security Administration on an annual basis. | [('…since', 'NN'), ('1978', 'CD'), (',', ','), ('employers', 'NNS'), ('have', 'VBP'), ('no', 'DT'), ('longer', 'JJR'), ('been', 'VBN'), ('required', 'VBN'), ('to', 'TO'), ('make', 'VB'), ('quarterly', 'JJ'), ('reports', 'NNS'), (';', ':'), ('instead', 'RB'), ('they', 'PRP'), ('file', 'VBP'), ('IRS', 'NNP'), ('form', 'NN'), ('W-2', 'NNP'), ('with', 'IN'), ('the', 'DT'), ('Social', 'NNP'), ('Security', 'NNP'), ('Administration', 'NNP'), ('on', 'IN'), ('an', 'DT'), ('annual', 'JJ'), ('basis', 'NN'), ('.', '.')]
Dataset | Continuous Work History Sample | …two shortcomings of this dataset include the facts that many employers do not report the earnings of those engaged in non-FICA taxable employmen and that the W-2 series is the poor quality of the data during the first years of annual reporting. | [('…two', 'JJ'), ('shortcomings', 'NNS'), ('of', 'IN'), ('this', 'DT'), ('dataset', 'NN'), ('include', 'VBP'), ('the', 'DT'), ('facts', 'NNS'), ('that', 'IN'), ('many', 'JJ'), ('employers', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('report', 'VB'), ('the', 'DT'), ('earnings', 'NNS'), ('of', 'IN'), ('those', 'DT'), ('engaged', 'VBN'), ('in', 'IN'), ('non-FICA', 'JJ'), ('taxable', 'JJ'), ('employmen', 'NNS'), ('and', 'CC'), ('that', 'IN'), ('the', 'DT'), ('W-2', 'NNP'), ('series', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('poor', 'JJ'), ('quality', 'NN'), ('of', 'IN'), ('the', 'DT'), ('data', 'NN'), ('during', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('years', 'NNS'), ('of', 'IN'), ('annual', 'JJ'), ('reporting', 'NN'), ('.', '.')]
Dataset | Continuous Work History Sample | …FICA coverage includes most wage and salary and self-employment earnings, but for the sample period used in this research period, the most important coverage exceptions are the majority of federal civilian employees, some state and local government employees, some agricultural and domestic workers, and the employees of some nonprofit organizations; an external figure by Robert Meyer for state, local, and civilian federal government employees imply that by 1981, roughly 58% of all civilian government workers were covered. | [('…FICA', 'JJ'), ('coverage', 'NN'), ('includes', 'VBZ'), ('most', 'RBS'), ('wage', 'NN'), ('and', 'CC'), ('salary', 'JJ'), ('and', 'CC'), ('self-employment', 'JJ'), ('earnings', 'NNS'), (',', ','), ('but', 'CC'), ('for', 'IN'), ('the', 'DT'), ('sample', 'JJ'), ('period', 'NN'), ('used', 'VBN'), ('in', 'IN'), ('this', 'DT'), ('research', 'NN'), ('period', 'NN'), (',', ','), ('the', 'DT'), ('most', 'RBS'), ('important', 'JJ'), ('coverage', 'NN'), ('exceptions', 'NNS'), ('are', 'VBP'), ('the', 'DT'), ('majority', 'NN'), ('of', 'IN'), ('federal', 'JJ'), ('civilian', 'JJ'), ('employees', 'NNS'), (',', ','), ('some', 'DT'), ('state', 'NN'), ('and', 'CC'), ('local', 'JJ'), ('government', 'NN'), ('employees', 'NNS'), (',', ','), ('some', 'DT'), ('agricultural', 'JJ'), ('and', 'CC'), ('domestic', 'JJ'), ('workers', 'NNS'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('employees', 'NNS'), ('of', 'IN'), ('some', 'DT'), ('nonprofit', 'JJ'), ('organizations', 'NNS'), (';', ':'), ('an', 'DT'), ('external', 'JJ'), ('figure', 'NN'), ('by', 'IN'), ('Robert', 'NNP'), ('Meyer', 'NNP'), ('for', 'IN'), ('state', 'NN'), (',', ','), ('local', 'JJ'), (',', ','), ('and', 'CC'), ('civilian', 'JJ'), ('federal', 'JJ'), ('government', 'NN'), ('employees', 'NNS'), ('imply', 'VBP'), ('that', 'IN'), ('by', 'IN'), ('1981', 'CD'), (',', ','), ('roughly', 'RB'), ('58', 'CD'), ('%', 'NN'), ('of', 'IN'), ('all', 'DT'), ('civilian', 'JJ'), ('government', 'NN'), ('workers', 'NNS'), ('were', 'VBD'), ('covered', 'VBN'), ('.', '.')]
Dataset | Continuous Work History Sample | …the combined effects of limited coverage and censoring at the taxable maximum are conveniently summarized by the perentage of all earnings that are reported to the Social Security Administration; these statistics show that after 1981 over 90% of wage and salary earnings and over 75% of self-employment earnings were reported to the Social Security Administration. | [('…the', 'NN'), ('combined', 'JJ'), ('effects', 'NNS'), ('of', 'IN'), ('limited', 'JJ'), ('coverage', 'NN'), ('and', 'CC'), ('censoring', 'NN'), ('at', 'IN'), ('the', 'DT'), ('taxable', 'JJ'), ('maximum', 'NN'), ('are', 'VBP'), ('conveniently', 'RB'), ('summarized', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('perentage', 'NN'), ('of', 'IN'), ('all', 'DT'), ('earnings', 'NNS'), ('that', 'WDT'), ('are', 'VBP'), ('reported', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('Social', 'NNP'), ('Security', 'NNP'), ('Administration', 'NNP'), (';', ':'), ('these', 'DT'), ('statistics', 'NNS'), ('show', 'VBP'), ('that', 'IN'), ('after', 'IN'), ('1981', 'CD'), ('over', 'IN'), ('90', 'CD'), ('%', 'NN'), ('of', 'IN'), ('wage', 'NN'), ('and', 'CC'), ('salary', 'JJ'), ('earnings', 'NNS'), ('and', 'CC'), ('over', 'RB'), ('75', 'CD'), ('%', 'NN'), ('of', 'IN'), ('self-employment', 'JJ'), ('earnings', 'NNS'), ('were', 'VBD'), ('reported', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('Social', 'NNP'), ('Security', 'NNP'), ('Administration', 'NNP'), ('.', '.')]
Dataset | Continuous Work History Sample | …the W-2 earnings series excludes earnings from self-employment. | [('…the', 'JJ'), ('W-2', 'JJ'), ('earnings', 'NNS'), ('series', 'NN'), ('excludes', 'VBP'), ('earnings', 'NNS'), ('from', 'IN'), ('self-employment', 'NN'), ('.', '.')]
Dataset | Continuous Work History Sample | …in this data source, information on race and sex is obtained from a computerized record of applications for a Social Security number called the NUMIDENT file, where for this projects, dates of birht were also matched from this file. | [('…in', 'NN'), ('this', 'DT'), ('data', 'NN'), ('source', 'NN'), (',', ','), ('information', 'NN'), ('on', 'IN'), ('race', 'NN'), ('and', 'CC'), ('sex', 'NN'), ('is', 'VBZ'), ('obtained', 'VBN'), ('from', 'IN'), ('a', 'DT'), ('computerized', 'JJ'), ('record', 'NN'), ('of', 'IN'), ('applications', 'NNS'), ('for', 'IN'), ('a', 'DT'), ('Social', 'NNP'), ('Security', 'NNP'), ('number', 'NN'), ('called', 'VBD'), ('the', 'DT'), ('NUMIDENT', 'NNP'), ('file', 'NN'), (',', ','), ('where', 'WRB'), ('for', 'IN'), ('this', 'DT'), ('projects', 'NNS'), (',', ','), ('dates', 'NNS'), ('of', 'IN'), ('birht', 'NN'), ('were', 'VBD'), ('also', 'RB'), ('matched', 'VBN'), ('from', 'IN'), ('this', 'DT'), ('file', 'NN'), ('.', '.')]
Dataset | Semiannual Reports of the Director of Selective Serivce | …draft lottery numbers from this data source were matched to the Continuous Work History Sample using lottery number tables for 1963 to 1973. | [('…draft', 'NN'), ('lottery', 'NN'), ('numbers', 'NNS'), ('from', 'IN'), ('this', 'DT'), ('data', 'NNS'), ('source', 'NN'), ('were', 'VBD'), ('matched', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('Continuous', 'JJ'), ('Work', 'NNP'), ('History', 'NNP'), ('Sample', 'NNP'), ('using', 'VBG'), ('lottery', 'JJ'), ('number', 'NN'), ('tables', 'NNS'), ('for', 'IN'), ('1963', 'CD'), ('to', 'TO'), ('1973', 'CD'), ('.', '.')]
Dataset | Continuous Work History Sample | …a small number of individuals were discarded from the final data set because there was no information on either their sex, race, or exact date of birht. | [('…a', 'RB'), ('small', 'JJ'), ('number', 'NN'), ('of', 'IN'), ('individuals', 'NNS'), ('were', 'VBD'), ('discarded', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('final', 'JJ'), ('data', 'NN'), ('set', 'NN'), ('because', 'IN'), ('there', 'EX'), ('was', 'VBD'), ('no', 'DT'), ('information', 'NN'), ('on', 'IN'), ('either', 'CC'), ('their', 'PRP$'), ('sex', 'NN'), (',', ','), ('race', 'NN'), (',', ','), ('or', 'CC'), ('exact', 'JJ'), ('date', 'NN'), ('of', 'IN'), ('birht', 'NN'), ('.', '.')]
Dataset | Current Population Survey |  …the March Current Population Surveys are used to estimate the means of uncensored earnings and censored earnings for each year, race, and cohort. | [('…the', 'IN'), ('March', 'NNP'), ('Current', 'NNP'), ('Population', 'NNP'), ('Surveys', 'NNP'), ('are', 'VBP'), ('used', 'VBN'), ('to', 'TO'), ('estimate', 'VB'), ('the', 'DT'), ('means', 'NNS'), ('of', 'IN'), ('uncensored', 'JJ'), ('earnings', 'NNS'), ('and', 'CC'), ('censored', 'VBN'), ('earnings', 'NNS'), ('for', 'IN'), ('each', 'DT'), ('year', 'NN'), (',', ','), ('race', 'NN'), (',', ','), ('and', 'CC'), ('cohort', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …data on earnings above the FICA taxable maximum are taken from the Mare-Winship March Current Population Survey Uniform files. | [('…data', 'NNS'), ('on', 'IN'), ('earnings', 'NNS'), ('above', 'IN'), ('the', 'DT'), ('FICA', 'NNP'), ('taxable', 'JJ'), ('maximum', 'NN'), ('are', 'VBP'), ('taken', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('Mare-Winship', 'NNP'), ('March', 'NNP'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('Uniform', 'NNP'), ('files', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …this dataset reports wage and salary earnings in the year preceding the survey year. | [('…this', 'JJ'), ('dataset', 'NN'), ('reports', 'NNS'), ('wage', 'NN'), ('and', 'CC'), ('salary', 'JJ'), ('earnings', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('year', 'NN'), ('preceding', 'VBG'), ('the', 'DT'), ('survey', 'NN'), ('year', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …to compute the adjusted 1981 to 1984 earnings series, data from the Current Population Surveys for 1982 through 1985 were used to compute separate mean earnings by cohort and race for each year. | [('…to', 'RB'), ('compute', 'VBZ'), ('the', 'DT'), ('adjusted', 'JJ'), ('1981', 'CD'), ('to', 'TO'), ('1984', 'CD'), ('earnings', 'NNS'), ('series', 'NN'), (',', ','), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('Current', 'NNP'), ('Population', 'NNP'), ('Surveys', 'NNP'), ('for', 'IN'), ('1982', 'CD'), ('through', 'IN'), ('1985', 'CD'), ('were', 'VBD'), ('used', 'VBN'), ('to', 'TO'), ('compute', 'VB'), ('separate', 'JJ'), ('mean', 'JJ'), ('earnings', 'NNS'), ('by', 'IN'), ('cohort', 'NN'), ('and', 'CC'), ('race', 'NN'), ('for', 'IN'), ('each', 'DT'), ('year', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …it should be noted that Current Population Survey earnings data are also censored at $75,000 for 1981 to 1983 earnings and at $100,000 for 1984 earnings. | [('…it', 'NN'), ('should', 'MD'), ('be', 'VB'), ('noted', 'VBN'), ('that', 'IN'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('earnings', 'NNS'), ('data', 'NNS'), ('are', 'VBP'), ('also', 'RB'), ('censored', 'VBN'), ('at', 'IN'), ('$', '$'), ('75,000', 'CD'), ('for', 'IN'), ('1981', 'CD'), ('to', 'TO'), ('1983', 'CD'), ('earnings', 'NNS'), ('and', 'CC'), ('at', 'IN'), ('$', '$'), ('100,000', 'CD'), ('for', 'IN'), ('1984', 'CD'), ('earnings', 'NNS'), ('.', '.')]
Dataset | Survey of Income and Program Participation | …a Census Bureau longitudinal survey of approximately 20,000 households in the civilian noninstitutional population. | [('…a', 'JJ'), ('Census', 'NNP'), ('Bureau', 'NNP'), ('longitudinal', 'JJ'), ('survey', 'NN'), ('of', 'IN'), ('approximately', 'RB'), ('20,000', 'CD'), ('households', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('civilian', 'JJ'), ('noninstitutional', 'JJ'), ('population', 'NN'), ('.', '.')]
Dataset | Survey of Income and Program Participation | …data for the first wave of the first panel of this survey were collected from four rotation groups in 1983 and 1984. | [('…data', 'NN'), ('for', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('wave', 'NN'), ('of', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('panel', 'NN'), ('of', 'IN'), ('this', 'DT'), ('survey', 'NN'), ('were', 'VBD'), ('collected', 'VBN'), ('from', 'IN'), ('four', 'CD'), ('rotation', 'NN'), ('groups', 'NNS'), ('in', 'IN'), ('1983', 'CD'), ('and', 'CC'), ('1984', 'CD'), ('.', '.')]
Dataset | Survey of Income and Program Participation | …this source contains year and month of birth and also information on day of birth, which is not directly released to the public. | [('…this', 'JJ'), ('source', 'NN'), ('contains', 'NNS'), ('year', 'NN'), ('and', 'CC'), ('month', 'NN'), ('of', 'IN'), ('birth', 'NN'), ('and', 'CC'), ('also', 'RB'), ('information', 'NN'), ('on', 'IN'), ('day', 'NN'), ('of', 'IN'), ('birth', 'NN'), (',', ','), ('which', 'WDT'), ('is', 'VBZ'), ('not', 'RB'), ('directly', 'RB'), ('released', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('public', 'NN'), ('.', '.')]
Dataset | Gartner Inc. | …the product level data was provided by Gartner Inc. and consists of quarterly shipments and dollar sales of all personal computers sold between 1996 and 1998, where all prices are dollar sales dividied by units sold. | [('…the', 'JJ'), ('product', 'NN'), ('level', 'NN'), ('data', 'NNS'), ('was', 'VBD'), ('provided', 'VBN'), ('by', 'IN'), ('Gartner', 'NNP'), ('Inc.', 'NNP'), ('and', 'CC'), ('consists', 'NNS'), ('of', 'IN'), ('quarterly', 'JJ'), ('shipments', 'NNS'), ('and', 'CC'), ('dollar', 'NN'), ('sales', 'NNS'), ('of', 'IN'), ('all', 'DT'), ('personal', 'JJ'), ('computers', 'NNS'), ('sold', 'VBN'), ('between', 'IN'), ('1996', 'CD'), ('and', 'CC'), ('1998', 'CD'), (',', ','), ('where', 'WRB'), ('all', 'DT'), ('prices', 'NNS'), ('are', 'VBP'), ('dollar', 'NN'), ('sales', 'NNS'), ('dividied', 'VBN'), ('by', 'IN'), ('units', 'NNS'), ('sold', 'VBN'), ('.', '.')]
Dataset | Bureau of Labor Statistics | …source of Consumer Price Index used to deflate prices. | [('…source', 'NN'), ('of', 'IN'), ('Consumer', 'NNP'), ('Price', 'NNP'), ('Index', 'NNP'), ('used', 'VBD'), ('to', 'TO'), ('deflate', 'VB'), ('prices', 'NNS'), ('.', '.')]
Dataset | Gartner Inc. | …sales to the home market comprise over 30% of all personal computer sold and are the focus of the model in this paper. | [('…sales', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('home', 'NN'), ('market', 'NN'), ('comprise', 'NN'), ('over', 'IN'), ('30', 'CD'), ('%', 'NN'), ('of', 'IN'), ('all', 'DT'), ('personal', 'JJ'), ('computer', 'NN'), ('sold', 'VBN'), ('and', 'CC'), ('are', 'VBP'), ('the', 'DT'), ('focus', 'NN'), ('of', 'IN'), ('the', 'DT'), ('model', 'NN'), ('in', 'IN'), ('this', 'DT'), ('paper', 'NN'), ('.', '.')]
Dataset | Gartner Inc. | …the analysis includes the top ten firms, Acer, Apple, Compaq, Dell, Gateway, Hewlett-Packard, IBM, Micron, NEC, and Packard-Bell, and five others, AST, AT&T/NCR, DEC, Epson, and Texas Instruments, to make full use of micro-purchase data; these 15 included firms account for over 85% of the dollar home market share on average and 83% of the unit home market share on average. | [('…the', 'JJ'), ('analysis', 'NN'), ('includes', 'VBZ'), ('the', 'DT'), ('top', 'JJ'), ('ten', 'NN'), ('firms', 'NNS'), (',', ','), ('Acer', 'NNP'), (',', ','), ('Apple', 'NNP'), (',', ','), ('Compaq', 'NNP'), (',', ','), ('Dell', 'NNP'), (',', ','), ('Gateway', 'NNP'), (',', ','), ('Hewlett-Packard', 'NNP'), (',', ','), ('IBM', 'NNP'), (',', ','), ('Micron', 'NNP'), (',', ','), ('NEC', 'NNP'), (',', ','), ('and', 'CC'), ('Packard-Bell', 'NNP'), (',', ','), ('and', 'CC'), ('five', 'CD'), ('others', 'NNS'), (',', ','), ('AST', 'NNP'), (',', ','), ('AT', 'NNP'), ('&', 'CC'), ('T/NCR', 'NNP'), (',', ','), ('DEC', 'NNP'), (',', ','), ('Epson', 'NNP'), (',', ','), ('and', 'CC'), ('Texas', 'NNP'), ('Instruments', 'NNP'), (',', ','), ('to', 'TO'), ('make', 'VB'), ('full', 'JJ'), ('use', 'NN'), ('of', 'IN'), ('micro-purchase', 'NN'), ('data', 'NNS'), (';', ':'), ('these', 'DT'), ('15', 'CD'), ('included', 'VBD'), ('firms', 'NNS'), ('account', 'VBP'), ('for', 'IN'), ('over', 'IN'), ('85', 'CD'), ('%', 'NN'), ('of', 'IN'), ('the', 'DT'), ('dollar', 'NN'), ('home', 'NN'), ('market', 'NN'), ('share', 'NN'), ('on', 'IN'), ('average', 'NN'), ('and', 'CC'), ('83', 'CD'), ('%', 'NN'), ('of', 'IN'), ('the', 'DT'), ('unit', 'NN'), ('home', 'NN'), ('market', 'NN'), ('share', 'NN'), ('on', 'IN'), ('average', 'NN'), ('.', '.')]
Dataset | Gartner Inc. | …includes data on five main personal computer attributes: manufacturer, brand, form factor, CPU type, and CPU speed. | [('…includes', 'NNS'), ('data', 'NNS'), ('on', 'IN'), ('five', 'CD'), ('main', 'JJ'), ('personal', 'JJ'), ('computer', 'NN'), ('attributes', 'VBZ'), (':', ':'), ('manufacturer', 'NN'), (',', ','), ('brand', 'NN'), (',', ','), ('form', 'NN'), ('factor', 'NN'), (',', ','), ('CPU', 'NNP'), ('type', 'NN'), (',', ','), ('and', 'CC'), ('CPU', 'NNP'), ('speed', 'NN'), ('.', '.')]
Dataset | Gartner Inc. | ...due to data limitations, the researcher does not include some essential product characteristics such as memory or hard disk, or product peripherals such as CD-ROM or modem. | [('...', ':'), ('due', 'JJ'), ('to', 'TO'), ('data', 'VB'), ('limitations', 'NNS'), (',', ','), ('the', 'DT'), ('researcher', 'NN'), ('does', 'VBZ'), ('not', 'RB'), ('include', 'VB'), ('some', 'DT'), ('essential', 'JJ'), ('product', 'NN'), ('characteristics', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('memory', 'NN'), ('or', 'CC'), ('hard', 'JJ'), ('disk', 'NN'), (',', ','), ('or', 'CC'), ('product', 'NN'), ('peripherals', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('CD-ROM', 'NNP'), ('or', 'CC'), ('modem', 'NN'), ('.', '.')]
Dataset | Gartner Inc. | …the data used consists of a more limited set of attributes, but those which cannot be easily altered after purchase; however this data still allows for a very narrow model definition. | [('…the', 'NN'), ('data', 'NNS'), ('used', 'VBD'), ('consists', 'NNS'), ('of', 'IN'), ('a', 'DT'), ('more', 'RBR'), ('limited', 'JJ'), ('set', 'NN'), ('of', 'IN'), ('attributes', 'NNS'), (',', ','), ('but', 'CC'), ('those', 'DT'), ('which', 'WDT'), ('can', 'MD'), ('not', 'RB'), ('be', 'VB'), ('easily', 'RB'), ('altered', 'VBN'), ('after', 'IN'), ('purchase', 'NN'), (';', ':'), ('however', 'RB'), ('this', 'DT'), ('data', 'NN'), ('still', 'RB'), ('allows', 'VBZ'), ('for', 'IN'), ('a', 'DT'), ('very', 'RB'), ('narrow', 'JJ'), ('model', 'NN'), ('definition', 'NN'), ('.', '.')]
Dataset | Gartner Inc. | …treating a model/quarter as an observation, the sample size is 2,112 after eliminating observations with negligible quarterly market shares, representing 723 distinct model, where the majority of the personal computers offered to home consumers were desk personal computers at 70% and over 83% of the processors were Pentium based and the number of models offered by each firm varied whereas Compaq had the larges selection with 138 different choices, while Texas Instruments offered only five; on average each firm offered a model for three quarters. | [('…treating', 'VBG'), ('a', 'DT'), ('model/quarter', 'NN'), ('as', 'IN'), ('an', 'DT'), ('observation', 'NN'), (',', ','), ('the', 'DT'), ('sample', 'NN'), ('size', 'NN'), ('is', 'VBZ'), ('2,112', 'CD'), ('after', 'IN'), ('eliminating', 'VBG'), ('observations', 'NNS'), ('with', 'IN'), ('negligible', 'JJ'), ('quarterly', 'JJ'), ('market', 'NN'), ('shares', 'NNS'), (',', ','), ('representing', 'VBG'), ('723', 'CD'), ('distinct', 'JJ'), ('model', 'NN'), (',', ','), ('where', 'WRB'), ('the', 'DT'), ('majority', 'NN'), ('of', 'IN'), ('the', 'DT'), ('personal', 'JJ'), ('computers', 'NNS'), ('offered', 'VBN'), ('to', 'TO'), ('home', 'NN'), ('consumers', 'NNS'), ('were', 'VBD'), ('desk', 'JJ'), ('personal', 'JJ'), ('computers', 'NNS'), ('at', 'IN'), ('70', 'CD'), ('%', 'NN'), ('and', 'CC'), ('over', 'IN'), ('83', 'CD'), ('%', 'NN'), ('of', 'IN'), ('the', 'DT'), ('processors', 'NNS'), ('were', 'VBD'), ('Pentium', 'NNP'), ('based', 'VBN'), ('and', 'CC'), ('the', 'DT'), ('number', 'NN'), ('of', 'IN'), ('models', 'NNS'), ('offered', 'VBN'), ('by', 'IN'), ('each', 'DT'), ('firm', 'NN'), ('varied', 'VBD'), ('whereas', 'JJ'), ('Compaq', 'NNP'), ('had', 'VBD'), ('the', 'DT'), ('larges', 'NNS'), ('selection', 'NN'), ('with', 'IN'), ('138', 'CD'), ('different', 'JJ'), ('choices', 'NNS'), (',', ','), ('while', 'IN'), ('Texas', 'NNP'), ('Instruments', 'NNP'), ('offered', 'VBD'), ('only', 'RB'), ('five', 'CD'), (';', ':'), ('on', 'IN'), ('average', 'JJ'), ('each', 'DT'), ('firm', 'NN'), ('offered', 'VBD'), ('a', 'DT'), ('model', 'NN'), ('for', 'IN'), ('three', 'CD'), ('quarters', 'NNS'), ('.', '.')]
Dataset | Census Bureau | …data source used in order to calculate the number of United states households in a given period in order to proxy for market size. | [('…data', 'NNS'), ('source', 'NN'), ('used', 'VBN'), ('in', 'IN'), ('order', 'NN'), ('to', 'TO'), ('calculate', 'VB'), ('the', 'DT'), ('number', 'NN'), ('of', 'IN'), ('United', 'NNP'), ('states', 'NNS'), ('households', 'NNS'), ('in', 'IN'), ('a', 'DT'), ('given', 'VBN'), ('period', 'NN'), ('in', 'IN'), ('order', 'NN'), ('to', 'TO'), ('proxy', 'VB'), ('for', 'IN'), ('market', 'NN'), ('size', 'NN'), ('.', '.')]
Dataset | Competitive Media Reporting | …advertising data from Competitive Media Reporting's LNA/Multi-Media Publication, which includes quarterly ad expenditures across ten media. | [('…advertising', 'VBG'), ('data', 'NNS'), ('from', 'IN'), ('Competitive', 'JJ'), ('Media', 'NNP'), ('Reporting', 'NNP'), ("'s", 'POS'), ('LNA/Multi-Media', 'NNP'), ('Publication', 'NNP'), (',', ','), ('which', 'WDT'), ('includes', 'VBZ'), ('quarterly', 'JJ'), ('ad', 'NN'), ('expenditures', 'NNS'), ('across', 'IN'), ('ten', 'JJ'), ('media', 'NNS'), ('.', '.')]
